[2025-05-07T09:19:44.217+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T09:19:40.127495+00:00 [queued]>
[2025-05-07T09:19:44.220+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T09:19:40.127495+00:00 [queued]>
[2025-05-07T09:19:44.221+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2025-05-07T09:19:44.226+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): human_review> on 2025-05-07 09:19:40.127495+00:00
[2025-05-07T09:19:44.232+0000] {standard_task_runner.py:57} INFO - Started process 13955 to run task
[2025-05-07T09:19:44.234+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'lgbtq_model_pipeline', 'human_review', 'manual__2025-05-07T09:19:40.127495+00:00', '--job-id', '53', '--raw', '--subdir', 'DAGS_FOLDER/lgbtq_model_pipeline.py', '--cfg-path', '/tmp/tmpfv7jg_z8']
[2025-05-07T09:19:44.236+0000] {standard_task_runner.py:85} INFO - Job 53: Subtask human_review
[2025-05-07T09:19:44.257+0000] {task_command.py:416} INFO - Running <TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T09:19:40.127495+00:00 [running]> on host 6fdcfcafebfc
[2025-05-07T09:19:44.289+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='lgbtq_model_pipeline' AIRFLOW_CTX_TASK_ID='human_review' AIRFLOW_CTX_EXECUTION_DATE='2025-05-07T09:19:40.127495+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-07T09:19:40.127495+00:00'
[2025-05-07T09:19:44.290+0000] {logging_mixin.py:154} INFO - 👀 Checking for enough articles in review queue...
[2025-05-07T09:19:44.291+0000] {logging_mixin.py:154} INFO - ✅ Found 73 files — simulating human review...
[2025-05-07T09:19:44.291+0000] {logging_mixin.py:154} INFO - 💌 Sending email to team...
[2025-05-07T09:19:44.291+0000] {logging_mixin.py:154} INFO - hiyyyy time 2 label these new entries babe okthxbye
[2025-05-07T09:19:44.291+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_248 — already exists in new_data.
[2025-05-07T09:19:44.291+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
[2025-05-07T09:19:44.291+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
[2025-05-07T09:19:44.292+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_246 — already exists in new_data.
[2025-05-07T09:19:44.292+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
[2025-05-07T09:19:44.292+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_244 — already exists in new_data.
[2025-05-07T09:19:44.292+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_244 — already exists in new_data.
[2025-05-07T09:19:44.293+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_244 — already exists in new_data.
[2025-05-07T09:19:44.293+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_249 — already exists in new_data.
[2025-05-07T09:19:44.293+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_248 — already exists in new_data.
[2025-05-07T09:19:44.293+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_246 — already exists in new_data.
[2025-05-07T09:19:44.293+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_246 — already exists in new_data.
[2025-05-07T09:19:44.294+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_248 — already exists in new_data.
[2025-05-07T09:19:44.294+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
